,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
CA26,1989,CA,1000,1000,1000,2723.248,2723.248,2723.248,390000,357290.3,357.2903,131.2001,0,1,0,3,0,0,1,0,0,0,0,0,0,0,,0,Chevron Corp.,Texaco,Jul-Aug '89
CA27,1989,CA,1301,1301,1301,3542.9457,3542.9457,3542.9457,507390,464834.7,357.2903,131.2001,0,1,0,3,0,0,0,0,1,0,0,0,0,0,,0,Chevron Corp.,Texaco,Jul-Aug '89
CA28,1989,CA,2300,2300,2300,6263.4705,6263.4705,6263.4705,897000,821767.8,357.2903,131.2001,0,1,0,3,0,0,0,0,1,0,0,0,0,0,,0,Chevron Corp.,Mobil Oil Company,Jul-Aug '89
CA29,1989,CA,1500,1500,1500,21140.917,21140.917,21140.917,,,,,0,1,0,25,0,0,0,0,0,1,0,0,0,0,,0,Chevron Corp.,ARCO,Jul-Aug '89
CA30,1989,CA,255,255,255,255,255,255,34425,31537.74,123.6774,123.6774,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,"Allied Signal, Inc.",Mobil Oil Company,Jun '89
CA31,1989,CA,5000,5000,5000,5000,5000,5000,225000,206129,41.22581,41.22581,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Yuba County Water Agency,City of Napa,Mar '89
CA32,1989,CA,93000,93000,93000,93000,93000,93000,,,,,,,,,,,,,,,,,,,,1,Arvin-Edison Water Storage D,Metorpolitian WD,Mar '89
CA33,1989,CA,541,541,541,541,541,541,67625,61953.23,114.5161,114.5161,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CA Department of Water Resources,A Mutual WC,Nov' 88
CA34,1989,CA,530,530,530,530,530,530,66250,60693.55,114.5161,114.5161,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CA Department of Water Resources,LA County,Nov '88
CA35,1989,CA,582,582,582,582,582,582,72750,66648.39,114.5161,114.5161,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CA Department of Water Resources,5 entities,Nov'88
